lot,wafer,die_x,die_y,zone,temp_C,stress_V,tox_nm,Eox_MVcm,beta_shape,eta_scale_est_ref,time_to_failure_s
L1,W1,23,5,CENTER,85,2.3,10.0,2.3,1.3,2733.178200585765,3681.957868193239
L1,W1,4,12,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,2303.119405654566
L1,W1,11,5,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,3141.3794042782984
L1,W1,5,1,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,2874.694781813237
L1,W1,4,28,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,3316.3533622753944
L1,W1,11,27,EDGE,85,2.3,10.0,2.3,1.3,2733.178200585765,2079.2633571270294
L1,W1,27,27,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,1332.6923515251444
L1,W1,28,26,EDGE,85,2.3,10.0,2.3,1.3,2733.178200585765,2009.1630612189606
L1,W1,11,19,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,976.9079715396168
L1,W1,15,15,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,6415.048201604586
L1,W1,29,29,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,1935.0613441056787
L1,W1,7,16,CENTER,85,2.3,10.0,2.3,1.3,2733.178200585765,1417.3352868886836
L1,W1,28,19,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,1704.7123356554252
L1,W1,3,6,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,1766.4010981922659
L1,W1,6,22,EDGE,85,2.3,10.0,2.3,1.3,2733.178200585765,2226.978678089496
L1,W1,10,24,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,2233.914727534548
L1,W1,1,20,CENTER,85,2.3,10.0,2.3,1.3,2733.178200585765,1487.1386065538645
L1,W1,24,14,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,2254.4871585542373
L1,W1,25,5,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,6286.918926796986
L1,W1,11,1,EDGE,85,2.3,10.0,2.3,1.3,2733.178200585765,819.0474815496073
L1,W1,25,18,EDGE,85,2.3,10.0,2.3,1.3,2733.178200585765,1096.287994032688
L1,W1,23,20,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,5826.210324526363
L1,W1,24,23,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,3773.885859899069
L1,W1,24,28,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,5638.548891354993
L1,W1,17,14,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,3113.1920997613665
L1,W1,3,24,EDGE,85,2.3,10.0,2.3,1.3,2733.178200585765,4225.285751297199
L1,W1,27,21,EDGE,85,2.3,10.0,2.3,1.3,2733.178200585765,659.069373126631
L1,W1,18,8,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,4111.754672281582
L1,W1,27,25,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,2450.021925767277
L1,W1,28,1,CENTER,85,2.3,10.0,2.3,1.3,2733.178200585765,4323.33463082627
L1,W1,21,10,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,1006.063442304889
L1,W1,2,2,CENTER,85,2.5,10.0,2.5,1.3,1500.0,2041.1676218412256
L1,W1,13,21,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,1998.4156300315244
L1,W1,19,5,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,468.83148278584423
L1,W1,2,10,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,1411.1043037799832
L1,W1,29,0,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,437.1444031831292
L1,W1,11,18,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,2136.2251961201746
L1,W1,0,13,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,332.88121338623523
L1,W1,19,26,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,1282.4603366784029
L1,W1,16,10,EDGE,85,2.5,10.0,2.5,1.3,1500.0,2313.434538619266
L1,W1,19,6,CENTER,85,2.5,10.0,2.5,1.3,1500.0,1089.7572862120294
L1,W1,22,4,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,1705.9400054297132
L1,W1,14,6,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,1397.207281291342
L1,W1,24,13,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,2260.6408808455376
L1,W1,11,2,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,2907.116342350894
L1,W1,16,12,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,1723.0314333494239
L1,W1,4,25,EDGE,85,2.5,10.0,2.5,1.3,1500.0,2634.7086626166288
L1,W1,18,23,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,913.8844849166537
L1,W1,7,19,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,1303.737501504124
L1,W1,20,26,CENTER,85,2.5,10.0,2.5,1.3,1500.0,1105.6124344008326
L1,W1,24,23,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,2684.5608860824923
L1,W1,25,19,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,2053.7294727502526
L1,W1,27,25,CENTER,85,2.5,10.0,2.5,1.3,1500.0,839.3440875100496
L1,W1,3,3,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,958.2653042548465
L1,W1,4,24,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,2959.833904728767
L1,W1,27,8,EDGE,85,2.5,10.0,2.5,1.3,1500.0,699.9061677301489
L1,W1,11,21,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,1006.5239414501509
L1,W1,0,27,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,943.0578296054972
L1,W1,8,14,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,176.88348335874878
L1,W1,25,2,CENTER,85,2.5,10.0,2.5,1.3,1500.0,1402.3826985761903
L1,W1,16,14,MIDDLE,85,2.7,10.0,2.7,1.3,823.2174541410393,442.7069702519837
L1,W1,3,14,MIDDLE,85,2.7,10.0,2.7,1.3,823.2174541410393,221.43675436378152
L1,W1,22,9,CENTER,85,2.7,10.0,2.7,1.3,823.2174541410393,1343.5935404209151
L1,W1,6,17,MIDDLE,85,2.7,10.0,2.7,1.3,823.2174541410393,749.7410691303812
L1,W1,9,6,EDGE,85,2.7,10.0,2.7,1.3,823.2174541410393,1053.973955367469
L1,W1,25,15,MIDDLE,85,2.7,10.0,2.7,1.3,823.2174541410393,1161.2311965263518
L1,W1,20,3,MIDDLE,85,2.7,10.0,2.7,1.3,823.2174541410393,1057.9670940476033
L1,W1,11,14,MIDDLE,85,2.7,10.0,2.7,1.3,823.2174541410393,581.6674848192166
L1,W1,27,23,MIDDLE,85,2.7,10.0,2.7,1.3,823.2174541410393,822.6393730980735
L1,W1,11,24,MIDDLE,85,2.7,10.0,2.7,1.3,823.2174541410393,132.49497341753056
L1,W1,16,20,EDGE,85,2.7,10.0,2.7,1.3,823.2174541410393,1128.7327663187655
L1,W1,7,22,CENTER,85,2.7,10.0,2.7,1.3,823.2174541410393,1374.9088166656256
L1,W1,5,1,EDGE,85,2.7,10.0,2.7,1.3,823.2174541410393,1493.8457377297489
L1,W1,14,10,EDGE,85,2.7,10.0,2.7,1.3,823.2174541410393,385.9882146637246
L1,W1,16,19,MIDDLE,85,2.7,10.0,2.7,1.3,823.2174541410393,361.6991557301886
L1,W1,24,24,EDGE,85,2.7,10.0,2.7,1.3,823.2174541410393,657.7382079532997
L1,W1,11,17,MIDDLE,85,2.7,10.0,2.7,1.3,823.2174541410393,834.6155777035729
L1,W1,26,25,EDGE,85,2.7,10.0,2.7,1.3,823.2174541410393,783.4765101587149
L1,W1,18,8,EDGE,85,2.7,10.0,2.7,1.3,823.2174541410393,1240.072079687495
L1,W1,2,4,EDGE,85,2.7,10.0,2.7,1.3,823.2174541410393,697.517681637708
L1,W1,22,2,MIDDLE,85,2.7,10.0,2.7,1.3,823.2174541410393,681.7392220707709
L1,W1,17,17,EDGE,85,2.7,10.0,2.7,1.3,823.2174541410393,708.6659762997485
L1,W1,11,19,EDGE,85,2.7,10.0,2.7,1.3,823.2174541410393,588.439417979429
L1,W1,14,8,MIDDLE,85,2.7,10.0,2.7,1.3,823.2174541410393,577.6993392271712
L1,W1,9,23,EDGE,85,2.7,10.0,2.7,1.3,823.2174541410393,469.06681937388913
L1,W1,18,22,EDGE,85,2.7,10.0,2.7,1.3,823.2174541410393,269.9152111374595
L1,W1,17,10,MIDDLE,85,2.7,10.0,2.7,1.3,823.2174541410393,409.0711036641338
L1,W1,13,7,EDGE,85,2.7,10.0,2.7,1.3,823.2174541410393,268.5673034188914
L1,W1,8,22,MIDDLE,85,2.7,10.0,2.7,1.3,823.2174541410393,648.7868532491102
L1,W1,11,20,MIDDLE,85,2.7,10.0,2.7,1.3,823.2174541410393,1773.210976119234
L1,W1,29,0,MIDDLE,125,2.3,10.0,2.3,1.3,51168.7978813332,17417.85767800913
L1,W1,0,2,MIDDLE,125,2.3,10.0,2.3,1.3,51168.7978813332,6382.703988271497
L1,W1,28,17,EDGE,125,2.3,10.0,2.3,1.3,51168.7978813332,30968.751767336984
L1,W1,6,28,MIDDLE,125,2.3,10.0,2.3,1.3,51168.7978813332,42669.20613979949
L1,W1,1,15,MIDDLE,125,2.3,10.0,2.3,1.3,51168.7978813332,29654.455927320054
L1,W1,21,13,CENTER,125,2.3,10.0,2.3,1.3,51168.7978813332,27421.35852216171
L1,W1,15,2,EDGE,125,2.3,10.0,2.3,1.3,51168.7978813332,55742.89241032645
L1,W1,25,20,EDGE,125,2.3,10.0,2.3,1.3,51168.7978813332,93438.96929719434
L1,W1,3,1,CENTER,125,2.3,10.0,2.3,1.3,51168.7978813332,43262.13388769701
L1,W1,2,25,MIDDLE,125,2.3,10.0,2.3,1.3,51168.7978813332,44430.79332453555
L1,W1,17,24,EDGE,125,2.3,10.0,2.3,1.3,51168.7978813332,26696.68421753986
L1,W1,26,29,CENTER,125,2.3,10.0,2.3,1.3,51168.7978813332,32622.487114251595
L1,W1,12,8,MIDDLE,125,2.3,10.0,2.3,1.3,51168.7978813332,30277.637849144015
L1,W1,23,4,MIDDLE,125,2.3,10.0,2.3,1.3,51168.7978813332,99266.58740294685
L1,W1,27,8,MIDDLE,125,2.3,10.0,2.3,1.3,51168.7978813332,58174.07366324924
L1,W1,26,23,MIDDLE,125,2.3,10.0,2.3,1.3,51168.7978813332,65938.79919086638
L1,W1,15,6,MIDDLE,125,2.3,10.0,2.3,1.3,51168.7978813332,20577.96375171306
L1,W1,20,26,CENTER,125,2.3,10.0,2.3,1.3,51168.7978813332,70752.85086491912
L1,W1,15,4,MIDDLE,125,2.3,10.0,2.3,1.3,51168.7978813332,37136.313287124605
L1,W1,20,1,EDGE,125,2.3,10.0,2.3,1.3,51168.7978813332,16587.71183228631
L1,W1,17,6,MIDDLE,125,2.3,10.0,2.3,1.3,51168.7978813332,51935.010980161846
L1,W1,15,22,CENTER,125,2.3,10.0,2.3,1.3,51168.7978813332,17269.610555883854
L1,W1,13,18,EDGE,125,2.3,10.0,2.3,1.3,51168.7978813332,37972.16597740171
L1,W1,19,10,CENTER,125,2.3,10.0,2.3,1.3,51168.7978813332,15433.416293411054
L1,W1,22,19,EDGE,125,2.3,10.0,2.3,1.3,51168.7978813332,44446.268105848656
L1,W1,27,19,MIDDLE,125,2.3,10.0,2.3,1.3,51168.7978813332,21223.230220131445
L1,W1,18,16,EDGE,125,2.3,10.0,2.3,1.3,51168.7978813332,22046.709683213707
L1,W1,3,15,MIDDLE,125,2.3,10.0,2.3,1.3,51168.7978813332,17444.531519763135
L1,W1,17,3,CENTER,125,2.3,10.0,2.3,1.3,51168.7978813332,7864.381493794612
L1,W1,9,7,MIDDLE,125,2.3,10.0,2.3,1.3,51168.7978813332,15575.551953746704
L1,W1,11,29,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,13514.378213116574
L1,W1,17,12,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,33627.64927270095
L1,W1,26,20,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,21285.659794711857
L1,W1,6,15,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,25524.518344844182
L1,W1,17,6,EDGE,125,2.5,10.0,2.5,1.3,28082.031682219014,175.3345075525337
L1,W1,1,9,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,24284.961503660696
L1,W1,2,15,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,6293.04198554908
L1,W1,23,3,CENTER,125,2.5,10.0,2.5,1.3,28082.031682219014,21918.36901826707
L1,W1,21,12,EDGE,125,2.5,10.0,2.5,1.3,28082.031682219014,6740.837746044789
L1,W1,11,12,EDGE,125,2.5,10.0,2.5,1.3,28082.031682219014,29720.89689408712
L1,W1,18,25,EDGE,125,2.5,10.0,2.5,1.3,28082.031682219014,10487.873526454223
L1,W1,11,3,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,3325.0281204376174
L1,W1,8,25,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,38519.66017003786
L1,W1,12,12,EDGE,125,2.5,10.0,2.5,1.3,28082.031682219014,12197.743082731182
L1,W1,9,19,EDGE,125,2.5,10.0,2.5,1.3,28082.031682219014,1624.9957043687575
L1,W1,24,16,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,31215.561078082806
L1,W1,12,8,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,23610.317653223432
L1,W1,9,27,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,27154.048213306552
L1,W1,16,6,EDGE,125,2.5,10.0,2.5,1.3,28082.031682219014,42988.07953283586
L1,W1,22,1,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,10914.351594613481
L1,W1,8,22,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,13309.156091052419
L1,W1,28,18,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,33902.869383199795
L1,W1,13,26,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,17574.86848902707
L1,W1,19,13,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,13614.189679920699
L1,W1,28,0,CENTER,125,2.5,10.0,2.5,1.3,28082.031682219014,38108.059586662
L1,W1,12,0,EDGE,125,2.5,10.0,2.5,1.3,28082.031682219014,17092.80323870033
L1,W1,5,12,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,16728.59257058979
L1,W1,22,7,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,53015.785161030515
L1,W1,0,27,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,2496.405388447292
L1,W1,13,3,MIDDLE,125,2.5,10.0,2.5,1.3,28082.031682219014,53837.93517347842
L1,W1,19,23,MIDDLE,125,2.7,10.0,2.7,1.3,15411.745752362896,8565.675988066743
L1,W1,0,15,EDGE,125,2.7,10.0,2.7,1.3,15411.745752362896,15459.980794619538
L1,W1,4,5,CENTER,125,2.7,10.0,2.7,1.3,15411.745752362896,15551.016363465393
L1,W1,29,10,MIDDLE,125,2.7,10.0,2.7,1.3,15411.745752362896,8937.470894203472
L1,W1,25,20,MIDDLE,125,2.7,10.0,2.7,1.3,15411.745752362896,22691.17492938298
L1,W1,6,4,MIDDLE,125,2.7,10.0,2.7,1.3,15411.745752362896,9987.317867830405
L1,W1,3,15,CENTER,125,2.7,10.0,2.7,1.3,15411.745752362896,17986.036243576786
L1,W1,24,0,MIDDLE,125,2.7,10.0,2.7,1.3,15411.745752362896,8273.169264246106
L1,W1,29,9,EDGE,125,2.7,10.0,2.7,1.3,15411.745752362896,19755.847181593454
L1,W1,5,7,CENTER,125,2.7,10.0,2.7,1.3,15411.745752362896,19432.947542288442
L1,W1,19,20,EDGE,125,2.7,10.0,2.7,1.3,15411.745752362896,17689.31522923231
L1,W1,8,27,EDGE,125,2.7,10.0,2.7,1.3,15411.745752362896,20341.8176151666
L1,W1,22,4,CENTER,125,2.7,10.0,2.7,1.3,15411.745752362896,14061.543516144957
L1,W1,12,23,CENTER,125,2.7,10.0,2.7,1.3,15411.745752362896,6018.566589200863
L1,W1,3,19,MIDDLE,125,2.7,10.0,2.7,1.3,15411.745752362896,12609.673318173553
L1,W1,9,29,CENTER,125,2.7,10.0,2.7,1.3,15411.745752362896,6571.510212967181
L1,W1,16,27,MIDDLE,125,2.7,10.0,2.7,1.3,15411.745752362896,15035.090725022601
L1,W1,23,3,MIDDLE,125,2.7,10.0,2.7,1.3,15411.745752362896,4359.295121383852
L1,W1,0,22,MIDDLE,125,2.7,10.0,2.7,1.3,15411.745752362896,13932.221018707532
L1,W1,28,17,MIDDLE,125,2.7,10.0,2.7,1.3,15411.745752362896,5161.584355450238
L1,W1,19,3,MIDDLE,125,2.7,10.0,2.7,1.3,15411.745752362896,14361.355054960268
L1,W1,26,7,MIDDLE,125,2.7,10.0,2.7,1.3,15411.745752362896,35506.79877750079
L1,W1,27,27,MIDDLE,125,2.7,10.0,2.7,1.3,15411.745752362896,16722.012827958904
L1,W1,4,16,MIDDLE,125,2.7,10.0,2.7,1.3,15411.745752362896,8517.74205702148
L1,W1,2,10,EDGE,125,2.7,10.0,2.7,1.3,15411.745752362896,7140.752155735482
L1,W1,23,9,MIDDLE,125,2.7,10.0,2.7,1.3,15411.745752362896,10712.713021487492
L1,W1,5,25,MIDDLE,125,2.7,10.0,2.7,1.3,15411.745752362896,12639.348643342319
L1,W1,4,8,MIDDLE,125,2.7,10.0,2.7,1.3,15411.745752362896,14763.117962862498
L1,W1,14,4,CENTER,125,2.7,10.0,2.7,1.3,15411.745752362896,7424.2197549947205
L1,W1,27,17,MIDDLE,125,2.7,10.0,2.7,1.3,15411.745752362896,15442.900188512656
